Report exported from MediaTool v2.3 — CONFIDENTIAL
Generated: 2024-04-01 09:15:22

Client,Platform,Campaign,Date,Spend,Imps,Clicks,,Currency
NOTE: All figures in USD unless stated otherwise
Widgets Inc,Meta Ads,Q1 Push,2024-01-15,12500.00,980000,22000,,USD
Widgets Inc,Meta Ads,Q1 Push,2024-01-16,11800.50,940000,20500,,USD
Widgets Inc,Meta Ads,Q1 Push,2024-01-17,
Widgets Inc,,Q1 Push,2024-01-18,9200.00,820000,18000,,USD
,Google,Brand,2024-01-15,4500.00,320000,8900,,USD
,Google,Brand,2024-01-16,4800.75,340000,9200,,USD
SUBTOTAL - Meta,,,,24300.50,1920000,42500,,
SUBTOTAL - Google,,,,9300.75,660000,18100,,
GRAND TOTAL,,,,33601.25,2580000,60600,,
NOTE: Conversions not tracked this period
