FACEBOOK PERFORMANCE REPORT — Q1 2024
Client: MegaBrand

Campaign,Start Date,Budget Spend,Reach,Link Clicks,CTR,CPC,CPM,Purchase Events,CVR,CPA,Revenue,ROAS,Currency
Summer Launch,01/03/2024,385000.00,2700000,82000,2.15,4.70,142.59,1820,2.22,211.54,4200000.00,10.91,INR
Summer Launch,02/03/2024,410000.00,2900000,88000,2.20,4.66,141.38,1950,2.22,210.26,4500000.00,10.98,INR
Retargeting - Hot,01/03/2024,102000.00,380000,26500,4.10,3.85,268.42,750,2.83,136.00,1200000.00,11.76,INR
Retargeting - Hot,02/03/2024,89000.00,340000,23000,4.05,3.87,261.76,640,2.78,139.06,1050000.00,11.80,INR

SUBTOTALS,,986000.00,6320000,219500,,,,5160,,,,
,,,,,,

GOOGLE ADS PERFORMANCE REPORT — Q1 2024

Ad Campaign,Date,Investment,Impressions,Clicks (Total),CTR,Avg CPC,CPM,Conv,CVR,CPA,Revenue,ROAS,Curr
Brand Keywords,2024-03-01,152000.00,830000,35600,4.29,4.27,183.13,940,2.64,161.70,1800000.00,11.84,INR
Brand Keywords,2024-03-02,165000.00,895000,38500,4.30,4.29,184.36,1010,2.62,163.37,1950000.00,11.82,INR
Generic - High Intent,2024-03-01,188000.00,1780000,43200,2.43,4.35,105.62,840,1.94,223.81,2100000.00,11.17,INR
Generic - High Intent,2024-03-02,202000.00,1900000,46000,2.42,4.39,106.32,900,1.96,224.44,2250000.00,11.14,INR

SUBTOTALS,,707000.00,5405000,163300,,,,3690,,,,,
