CLIENT: RetailBrand | PERIOD: Q1 2024 | CURRENCY: USD

=== PAID SOCIAL ===
Platform,Campaign,Date,Spend (USD),Impressions,Clicks,Conversions
Facebook,Awareness Drive,2024-01-01,8000.00,750000,15000,320
Facebook,Awareness Drive,2024-01-02,7800.50,720000,14500,305
Instagram,Story Ads,2024-01-01,3200.00,310000,7800,145
Instagram,Story Ads,2024-01-02,3050.75,295000,7200,132
TikTok,Creator UGC,2024-01-01,5500.00,900000,18000,280
TikTok,Creator UGC,2024-01-02,5200.00,860000,17200,265
SOCIAL SUBTOTAL,,2024-01-01,16700.00,1960000,40800,745
SOCIAL SUBTOTAL,,2024-01-02,16051.25,1875000,38900,702

=== PAID SEARCH ===
Platform,Campaign,Date,Search Spend,Impressions,Clicks,Conversions
Google Ads,Brand Term,2024-01-01,2500.00,85000,4200,180
Google Ads,Brand Term,2024-01-02,2750.50,92000,4600,195
Google Ads,Non-Brand,2024-01-01,4100.00,195000,6800,142
Google Ads,Non-Brand,2024-01-02,4350.75,208000,7100,151
SEARCH SUBTOTAL,,2024-01-01,6600.00,280000,11000,322
SEARCH SUBTOTAL,,2024-01-02,7101.25,300000,11700,346

=== DISPLAY ===
Platform,Campaign,Date,Display Budget,Impressions,Clicks,Conversions
DV360,Prospecting,2024-01-01,3000.00,500000,2500,35
DV360,Prospecting,2024-01-02,2900.50,480000,2400,33
DISPLAY SUBTOTAL,,2024-01-01,3000.00,500000,2500,35
DISPLAY SUBTOTAL,,2024-01-02,2900.50,480000,2400,33

GRAND TOTAL,,2024-01-01,26300.00,2740000,54300,1102
GRAND TOTAL,,2024-01-02,26052.00,2655000,53000,1081
